feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,label
404.8945342,0.03211060333,1,0,0,0,0,1,0,1,0,0,72.89551708,0.3792891217,0
30.92488861,0.001468895226,0,0,0,0,0,0,0,0,0,0,0,0,0
51.02659599,7.58E-06,1,0,0,0,1,0,0,0,1,0,2.217355783,0.2484519975,0
56.12051934,0.04784698247,1,0,1,0,0,0,0,0,0,0,5.606951801,0.4403417537,0
5.847813542,0.02431842429,0,0,0,0,0,1,0,0,0,0,0,0,0
11.66551432,0.02279748673,1,0,1,0,0,0,0,0,0,0,4.242640687,1.221697535,0
355.191581,0.60054009,0,1,0,0,0,0,0,1,0,0,2.046517846,0.2376918833,1
163.7456868,0.04148886256,1,0,1,0,0,0,0,0,0,0,10.52009261,0.3141620754,0
144.1671938,0.02237159309,0,1,0,0,0,0,0,0,0,0,8.694278359,1.1689415,0
0,0.1688307486,0,0,0,1,0,0,0,0,0,1,0,0,0
244.5689946,0.004932253691,1,0,0,0,0,1,0,0,0,0,11.60869953,0.5522474048,0
327.5553169,0.00192982918,1,0,0,0,0,0,0,0,0,0,50.92012347,0.7567663578,0
1.262041635,0.04906885182,1,0,1,0,0,0,0,0,0,0,1.414213562,1.072577055,0
352.1429917,0.06793324074,1,0,0,0,0,1,0,0,0,0,11.39070324,1.520287253,0
388.9431822,0.003380408774,1,0,1,0,0,0,0,0,0,0,4.772859623,0.9271698166,0
385.7137611,0.003781969937,0,0,0,0,0,1,0,0,1,0,7.984820157,0,0
454.8108152,0.1832826902,0,0,1,0,0,0,0,1,0,0,32.22220151,0.3413019153,1
380.3793104,0.03250938849,1,0,0,0,0,0,0,0,0,0,39.25377656,1.427551138,0
51.53579084,0.04371516779,1,0,0,0,0,0,0,0,0,0,33.23401872,1.248113141,0
80.04652127,0.06005280864,1,0,1,0,0,0,0,1,0,0,14.85885979,0.9949341585,0
431.4083935,0.009317890569,1,0,0,0,0,1,0,0,0,0,67.22975,1.480106078,0
410.690995,0.01216179397,1,0,0,0,0,0,0,0,0,0,125.5997611,1.757271404,0
0,0.9784994786,0,0,1,0,0,0,0,0,0,1,0,0,0
51.82425522,0.60610041,0,0,1,0,0,0,0,1,0,0,1.246423455,0.1764705882,0
66.65855631,0.1198759366,0,1,0,0,0,0,0,1,0,0,0,0.3008685505,1
66.65855631,0.2716813094,0,1,0,0,0,0,0,1,0,0,0,0.03515687805,1
54.76408173,0.01005433408,0,0,1,0,0,0,0,0,0,0,0,0.0115040106,0
66.65855631,0.06610004394,0,1,0,0,0,0,0,1,0,0,0,0.06839440392,1
29.03873851,6.88E-07,0,0,0,0,1,0,0,0,0,0,0,0,0
42.65289526,0.5404739982,1,0,0,0,0,1,0,0,0,0,13.09898215,2.057807466,0
57.52805293,0.04812461425,1,0,0,1,0,0,0,0,1,0,0.7071067812,0.002403451281,0
52.27550259,0.0312121802,0,0,1,0,0,0,0,0,0,0,29.69848481,0.1810565279,0
454.8108152,0.09248504398,1,0,0,0,0,1,0,0,1,0,11.2557751,0.6185193059,0
0,0.03007582115,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0.3143962551,0,0,0,1,0,0,0,0,0,1,0,0,0
329.5352344,0.009505921534,1,0,0,0,0,1,0,0,0,0,122.7558553,0.9724459013,0
389.8601218,0.01735176857,0,0,0,0,0,0,0,0,0,0,67.80963839,1.102500308,0
454.8108152,0.004266064543,1,0,1,0,0,0,0,0,0,0,52.33094474,1.122248519,0
0,0.0001893052497,0,0,0,0,0,0,0,0,0,0,0,0.7443229276,0
0,0.04297655629,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0.0005864234182,0,0,0,1,0,0,0,0,0,1,0,0,0
454.8108152,0.8491526299,0,1,0,0,0,0,0,1,0,0,0.4472135955,0.04164734648,1
445.8391414,0.03567062704,1,0,1,0,0,0,0,0,0,0,196.7254856,0.4315886081,0
22.97344754,0.3541269883,0,1,0,0,0,0,0,1,0,0,0,0.08204079091,1
126.190745,0.000507120909,1,0,0,0,0,1,0,0,0,0,134.3502884,0.2150133419,0
13.58833755,0.9425920021,0,1,0,0,0,0,1,0,0,0,0,0.2069377634,1
60.38597151,0.09650435819,1,0,1,0,0,0,0,0,0,0,29.69848481,0.6464117221,0
397.1046619,0.03009133038,1,0,0,0,0,1,0,0,0,0,233.3452378,0.879271837,0
152.0473292,0.06632685548,1,0,1,0,0,0,0,1,0,0,32.53075468,0.1676751895,0
156.8132111,0.1958805439,1,0,1,0,0,0,0,0,0,0,42.76914776,0.8469881297,0
21.55594262,0.3348602467,1,0,1,0,0,0,0,0,0,0,28.99137803,0.2131193538,0
268.6681633,0.5536993776,1,0,1,0,0,0,0,0,0,0,65.57692684,0.6640802389,0
206.363869,0.03129299796,0,1,0,0,0,0,0,1,0,0,25.67630673,0.8630612822,1
107.3491513,0.02464312418,1,0,1,0,0,0,0,0,0,0,127.2792206,0.8513035289,0
435.382009,0.04933712749,1,0,1,0,0,0,0,0,0,0,81.73382593,0.9638347171,0
120.3494008,0.121357784,1,0,0,0,0,0,0,0,0,0,29.51270913,1.167452832,0
106.3072993,0.03951658245,1,0,0,0,0,1,0,0,0,0,29.43212531,0.6840028466,0
448.1101737,7.66E-06,1,0,0,0,1,0,0,0,1,0,9.145126207,1.049942634,0
277.6120137,0.1389571574,0,1,0,0,0,0,1,0,0,0,0.2020305089,0.4756348465,1
412.4018444,0.1066317581,1,0,0,0,0,0,0,0,0,0,38.47626641,2.521621468,0
4.548799136,0.08173358756,0,0,1,0,0,0,0,0,0,0,0,0,0
165.8406639,3.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
386.9146949,3.95E-06,1,0,0,0,1,0,0,0,1,0,1.465475707,1.16443017,0
